<DATE>	<BALANCE>	<EQUITY>	<DEPOSIT LOAD>
2022.09.09 10:55	10248.00	10181.00	0.0000
2022.09.09 10:58	10248.00	10267.00	1.9485
2022.09.09 10:59	10248.00	10276.00	0.9733
2022.09.09 11:00	10382.00	10269.00	0.9740
2022.09.09 11:16	10382.00	10376.00	0.9640
2022.09.09 11:18	10382.00	10382.00	0.0000
2022.09.13 09:23	10384.00	10414.00	1.9210
2022.09.13 09:23	10384.00	10384.00	0.0000
2022.09.19 13:28	10395.00	10356.00	0.0000
2022.09.19 13:35	10395.00	10404.00	1.9228
2022.09.19 13:38	10395.00	10410.00	0.9608
2022.09.19 13:38	10396.00	10397.00	0.9620
2022.09.19 13:40	10396.00	10396.00	0.0000
2022.09.19 16:37	10403.00	10388.00	0.0000
2022.09.19 16:37	10403.00	10416.00	0.9603
2022.09.19 16:41	10404.00	10429.00	0.9591
2022.09.19 16:42	10404.00	10408.00	0.9610
2022.09.19 16:46	10404.00	10404.00	0.0000
2022.09.20 11:08	10433.00	10444.00	1.9155
2022.09.20 11:09	10433.00	10470.00	0.9553
2022.09.20 11:09	10434.00	10469.00	0.9554
2022.09.20 11:10	10434.00	10474.00	0.9549
2022.09.20 11:10	10434.00	10434.00	0.0000
2022.09.21 09:38	10443.00	10412.00	0.0000
2022.09.21 09:39	10443.00	10442.00	1.9158
2022.09.21 09:40	10443.00	10455.00	0.9567
2022.09.21 09:40	10444.00	10444.00	0.0000
2022.09.30 11:10	10460.00	10462.00	1.9122
2022.09.30 11:11	10460.00	10500.00	0.9526
2022.09.30 11:12	10461.00	10466.00	0.9557
2022.09.30 11:13	10461.00	10461.00	0.0000
2022.09.30 11:22	10498.00	10367.00	0.0000
2022.09.30 11:34	10498.00	10513.00	1.9029
2022.09.30 11:35	10498.00	10543.00	0.9487
2022.09.30 11:47	10600.00	10527.00	0.9501
2022.09.30 12:37	10600.00	10707.00	0.9342
2022.09.30 13:08	10600.00	10600.00	0.0000
2022.09.30 14:30	10602.00	10706.00	1.8686
2022.09.30 14:32	10602.00	10602.00	0.0000
2022.09.30 16:48	10604.00	10648.00	1.8788
2022.09.30 16:49	10604.00	10604.00	0.0000
2022.10.03 11:00	10606.00	10720.00	1.8661
2022.10.03 11:03	10606.00	10606.00	0.0000
2022.10.04 09:58	10619.00	10612.00	1.8851
2022.10.04 09:59	10619.00	10598.00	0.0000
2022.10.04 09:59	10619.00	10643.00	0.9398
2022.10.04 09:59	10620.00	10626.00	0.9413
2022.10.04 10:00	10620.00	10620.00	0.0000
2022.10.06 10:51	10622.00	10688.00	1.8717
