<DATE>	<BALANCE>	<EQUITY>	<DEPOSIT LOAD>
2022.08.03 16:04	10126.00	10126.00	0.0000
2022.08.04 15:26	10131.00	10134.00	1.9740
2022.08.04 15:26	10131.00	10114.00	0.0000
2022.08.04 15:27	10131.00	10138.00	0.9866
2023.08.23 13:20	11091.00	11111.00	1.8005
2023.08.23 13:21	11091.00	11091.00	0.0000
2023.08.23 14:29	11059.00	11065.00	0.0000
2023.08.23 14:33	11059.00	11059.00	0.0000
2023.08.28 12:44	11071.00	11067.00	1.8076
2023.08.28 12:45	11071.00	11088.00	0.9021
2023.08.28 12:45	11072.00	11084.00	0.9024
2023.08.28 12:46	11072.00	11072.00	0.0000
2023.08.28 16:02	11081.00	11086.00	1.8045
2023.08.28 16:03	11081.00	11093.00	0.9016
2023.08.28 16:04	11135.00	11088.00	0.9021
2023.08.28 16:08	11135.00	11128.00	0.8988
2023.08.28 16:09	11135.00	11135.00	0.0000
2023.08.30 09:48	11149.00	11103.00	0.0000
2023.08.30 09:53	11149.00	11161.00	1.7924
2023.08.30 09:54	11149.00	11173.00	0.8952
2023.08.30 10:11	11150.00	11151.00	0.8970
2023.08.30 10:14	11150.00	11199.00	0.8931
2023.08.30 10:23	11150.00	11150.00	0.0000
2023.09.01 12:58	11118.00	11152.00	1.7938
2023.09.01 12:59	11118.00	11130.00	0.0000
2023.09.01 13:00	11118.00	11118.00	0.0000
2023.09.04 10:40	11120.00	11136.00	1.7964
2023.09.04 10:40	11120.00	11120.00	0.0000
2023.09.11 09:44	11086.00	11132.00	1.7971
2023.09.11 09:53	11086.00	11090.00	0.0000
2023.09.11 09:54	11086.00	11086.00	0.0000
2023.09.11 15:42	11096.00	11048.00	0.0000
2023.09.11 15:47	11096.00	11104.00	1.8016
2023.09.11 15:53	11096.00	11114.00	0.8999
2023.09.11 15:54	11097.00	11101.00	0.9010
2023.09.11 15:55	11097.00	11097.00	0.0000
2023.09.12 14:20	11102.00	11103.00	1.8018
2023.09.12 14:21	11102.00	11108.00	0.9004
2023.09.12 14:21	11103.00	11103.00	0.0000
2023.09.20 13:25	11113.00	11113.00	1.8001
2023.09.20 13:26	11113.00	11079.00	0.0000
2023.09.20 13:29	11113.00	11123.00	0.8992
2023.09.20 13:29	11114.00	11119.00	0.8995
2023.09.20 13:30	11114.00	11114.00	0.0000
2023.09.29 09:58	11116.00	11138.00	1.7961
2023.09.29 09:59	11116.00	11116.00	0.0000
2023.10.10 11:25	11129.00	11106.00	0.0000
2023.10.10 11:26	11129.00	11140.00	1.7958
2023.10.10 11:27	11129.00	11144.00	0.8975
2023.10.10 11:27	11130.00	11142.00	0.8977
2023.10.10 11:28	11130.00	11130.00	0.0000
2023.10.18 11:24	11068.00	11144.00	1.7951
2023.10.18 11:26	11068.00	11076.00	0.0000
2023.10.18 11:28	11068.00	11068.00	0.0000
2023.10.19 13:08	11086.00	11102.00	1.8019
2023.10.19 13:11	11086.00	11034.00	0.0000
2023.10.19 13:14	11086.00	11107.00	0.9005
2023.10.19 13:14	11087.00	11093.00	0.9016
2023.10.19 13:15	11087.00	11087.00	0.0000
2023.10.23 14:16	11049.00	11099.00	1.8024
2023.10.23 14:17	11049.00	11067.00	0.0000
2023.10.23 14:19	11049.00	11049.00	0.0000
2023.10.24 09:36	11051.00	11087.00	1.8044
2023.10.24 09:38	11051.00	11051.00	0.0000
2023.10.26 11:04	11071.00	11083.00	1.8050
2023.10.26 11:14	11071.00	10993.00	0.0000
2023.10.26 11:26	11071.00	11101.00	0.9010
2023.10.26 11:27	11116.00	11090.00	0.9019
2023.10.26 11:51	11116.00	11181.00	0.8946
2023.10.26 12:26	11116.00	11116.00	0.0000
2023.10.31 12:11	11136.00	11102.00	0.0000
2023.10.31 12:12	11136.00	11152.00	1.7938
2023.10.31 12:13	11136.00	11167.00	0.8957
2023.10.31 12:14	11137.00	11173.00	0.8952
2023.10.31 12:15	11137.00	11142.00	0.8977
2023.10.31 12:16	11137.00	11137.00	0.0000
2023.10.31 12:28	11139.00	11201.00	1.7860
2023.10.31 12:29	11139.00	11139.00	0.0000
2023.11.01 09:46	11141.00	11177.00	1.7898
2023.11.01 09:47	11141.00	11141.00	0.0000
2023.11.01 10:16	11156.00	11167.00	1.7914
2023.11.01 10:16	11156.00	11113.00	0.0000
2023.11.01 10:17	11156.00	11173.00	0.8952
2023.11.01 10:18	11157.00	11158.00	0.8964
2023.11.01 10:19	11157.00	11176.00	0.8950
2023.11.01 10:20	11157.00	11157.00	0.0000
2023.11.01 10:46	11179.00	11183.00	1.7889
2023.11.01 10:47	11179.00	11211.00	0.8922
2023.11.01 10:55	11309.00	11183.00	0.8944
2023.11.01 11:24	11309.00	11301.00	0.8851
2023.11.01 11:41	11309.00	11309.00	0.0000
2023.11.03 11:57	11324.00	11291.00	0.0000
2023.11.03 11:58	11324.00	11329.00	1.7658
2023.11.03 11:59	11324.00	11355.00	0.8808
2023.11.03 12:04	11325.00	11328.00	0.8829
2023.11.03 12:09	11325.00	11325.00	0.0000
2023.11.03 13:50	11335.00	11341.00	1.7640
2023.11.03 13:51	11335.00	11362.00	0.8803
2023.11.03 13:51	11336.00	11337.00	0.8822
2023.11.03 13:52	11336.00	11336.00	0.0000
2023.11.03 15:29	11350.00	11362.00	1.7607
2023.11.03 15:33	11350.00	11320.00	0.0000
2023.11.03 15:34	11350.00	11364.00	0.8801
2023.11.03 15:35	11351.00	11354.00	0.8809
2023.11.03 15:40	11351.00	11394.00	0.8778
2023.11.03 16:21	11351.00	11351.00	0.0000
2023.11.06 09:38	11363.00	11323.00	0.0000
2023.11.06 09:50	11363.00	11371.00	1.7593
2023.11.06 09:51	11363.00	11376.00	0.8792
2023.11.06 09:52	11364.00	11380.00	0.8789
2023.11.06 09:52	11364.00	11369.00	0.8798
2023.11.06 09:53	11364.00	11364.00	0.0000
2023.11.06 12:52	11377.00	11374.00	1.7588
2023.11.06 12:53	11377.00	11362.00	0.0000
2023.11.06 12:53	11377.00	11396.00	0.8777
2023.11.06 12:53	11378.00	11393.00	0.8779
2023.11.06 12:54	11378.00	11378.00	0.0000
2023.11.07 15:33	11391.00	11392.00	1.7561
2023.11.07 15:35	11391.00	11346.00	0.0000
2023.11.07 15:41	11391.00	11408.00	0.8768
2023.11.07 15:42	11392.00	11412.00	0.8764
2023.11.07 15:42	11392.00	11396.00	0.8777
2023.11.07 15:43	11392.00	11392.00	0.0000
2023.11.09 11:42	11406.00	11410.00	1.7533
2023.11.09 11:43	11406.00	11437.00	0.8745
2023.11.09 11:50	11410.00	11412.00	0.8764
2023.11.09 11:58	11410.00	11455.00	0.8732
2023.11.09 12:01	11410.00	11410.00	0.0000
2023.11.10 11:26	11412.00	11430.00	1.7502
2023.11.10 11:27	11412.00	11412.00	0.0000
2023.11.14 10:52	11449.00	11326.00	0.0000
