<DATE>	<BALANCE>	<EQUITY>	<DEPOSIT LOAD>
2022.08.04 15:27	10132.00	10136.00	0.9868
2022.08.04 15:28	10132.00	10132.00	0.0000
2022.08.10 14:01	10139.00	10104.00	0.0000
2022.08.10 14:02	10139.00	10148.00	0.9856
2022.08.10 14:03	10140.00	10150.00	0.9854
2022.08.10 14:03	10140.00	10141.00	0.9863
2022.08.10 14:04	10140.00	10140.00	0.0000
2022.08.11 10:03	10084.00	10148.00	1.9713
2022.08.11 10:03	10084.00	10110.00	0.0000
2022.08.11 10:05	10084.00	10084.00	0.0000
2022.08.12 13:22	10100.00	10066.00	0.0000
2022.08.12 13:26	10100.00	10112.00	1.9783
2022.08.12 13:27	10100.00	10119.00	0.9884
2022.08.12 13:28	10101.00	10102.00	0.9901
2022.08.12 13:34	10101.00	10138.00	0.9866
2022.08.12 13:43	10101.00	10101.00	0.0000
2022.08.12 14:48	10110.00	10113.00	1.9781
2022.08.12 14:49	10110.00	10121.00	0.9882
2022.08.12 14:50	10111.00	10115.00	0.9888
2022.08.12 14:51	10111.00	10129.00	0.9875
2022.08.12 14:57	10111.00	10111.00	0.0000
2022.08.12 16:48	10077.00	10115.00	1.9778
2022.08.12 16:48	10077.00	10087.00	0.0000
2022.08.12 16:49	10077.00	10077.00	0.0000
2022.08.15 12:40	10087.00	10051.00	0.0000
2022.08.15 12:41	10087.00	10087.00	1.9832
2022.08.15 12:43	10087.00	10110.00	0.9893
2022.08.15 12:53	10088.00	10133.00	0.9871
2022.08.15 13:27	10088.00	10089.00	0.9914
2022.08.15 13:34	10088.00	10088.00	0.0000
2022.08.15 16:30	10048.00	10048.00	0.0000
2022.08.16 17:16	10068.00	10022.00	0.0000
2022.08.16 17:19	10068.00	10076.00	1.9854
2022.08.16 17:20	10068.00	10091.00	0.9912
2022.08.16 17:22	10085.00	10074.00	0.9929
2022.08.16 17:30	10085.00	10085.00	0.0000
2022.08.18 09:32	10106.00	10065.00	0.0000
2022.08.18 09:33	10106.00	10109.00	1.9789
2022.08.18 09:34	10106.00	10141.00	0.9863
2022.08.18 09:43	10107.00	10152.00	0.9852
2022.08.18 09:49	10107.00	10112.00	0.9891
2022.08.18 09:51	10107.00	10107.00	0.0000
2022.08.23 11:28	10057.00	10057.00	0.0000
2022.08.23 16:49	10069.00	10113.00	1.9781
2022.08.23 16:59	10069.00	10069.00	0.0000
2022.09.02 11:29	10263.00	10249.00	1.9519
2022.09.02 11:30	10263.00	10263.00	0.0000
2022.09.02 12:11	10225.00	10229.00	0.0000
2022.09.02 12:12	10225.00	10225.00	0.0000
